A_team,B_team,A_score,B_score,A_xg,B_xg,A_standings,B_standings,season,target
AC Milan,Udinese,1,0,0.79,0.44,5,16,2018/2019,0
Cesena,Fiorentina,1,3,0.91,3.31,19,7,2014/2015,0
Atalanta,Fiorentina,3,1,1.86,0.41,7,9,2018/2019,1
Torino,Lazio,0,1,0.33,2.82,10,4,2017/2018,1
Inter,Sassuolo,1,2,1.17,2.16,8,13,2016/2017,1
Sassuolo,Genoa,3,1,2.65,2.2,12,6,2014/2015,1
Napoli,Roma,4,1,2.64,1.99,2,7,2018/2019,0
Sassuolo,Inter,2,1,1.2,1.89,12,5,2017/2018,0
Napoli,Genoa,2,1,2.94,0.57,5,7,2014/2015,1
Roma,AC Milan,1,1,1.03,1.2,5,7,2015/2016,1
Inter,Lazio,2,2,1.07,0.26,11,4,2014/2015,1
Parma Calcio 1913,Empoli,1,0,0.65,1.45,13,18,2018/2019,1
Fiorentina,Parma Calcio 1913,1,1,1.37,0.7,8,9,2019/2020,1
Juventus,Parma Calcio 1913,2,1,2.18,1.91,1,13,2018/2019,0
Cesena,Juventus,0,3,0.01,2.23,11,2,2014/2015,0
Juventus,SPAL 2013,2,1,1.87,1.09,1,20,2019/2020,0
Inter,Torino,2,1,2.4,0.55,14,6,2016/2017,1
Juventus,Genoa,3,1,3.6,0.48,6,19,2020/2021,0
Roma,Sampdoria,0,0,1.23,1.22,2,3,2014/2015,0
Juventus,Cagliari,2,0,3.24,0.45,1,12,2018/2019,0
Roma,Fiorentina,4,2,2.3,1.19,5,7,2017/2018,0
Udinese,Torino,0,1,1.73,2.46,16,10,2018/2019,0
Udinese,Crotone,2,1,0.83,1.57,12,20,2020/2021,0
Napoli,Lazio,2,1,1.52,1.08,12,11,2018/2019,0
Udinese,Lazio,0,3,0.79,1.29,9,3,2017/2018,0
Lecce,Roma,0,1,0.79,3.0,16,10,2019/2020,1
Verona,Roma,1,1,0.87,1.16,19,14,2015/2016,1
Juventus,Torino,2,1,2.53,1.34,6,18,2020/2021,1
Fiorentina,Udinese,1,0,1.1,0.17,11,8,2018/2019,1
Atalanta,Spezia,0,0,2.2,0.59,7,13,2020/2021,0
Pescara,Torino,3,5,0.86,2.49,20,10,2016/2017,0
Udinese,Spezia,0,2,1.87,0.81,15,16,2020/2021,1
Torino,Verona,3,3,1.44,2.33,10,12,2019/2020,0
Roma,Udinese,1,0,0.9,0.86,2,12,2014/2015,0
